No.,Timestamp,Sequence Number,Attribute,Status,Data Type,Data Value
1,1778592350420,38,Active Power,Success,16-Bit Signed Integer,0
2,1778592350420,38,RMS Current,Success,16-Bit Unsigned Integer,0
3,1778592350420,38,RMS Voltage,Success,16-Bit Unsigned Integer,222
4,1778592410428,164,Active Power,Success,16-Bit Signed Integer,0
5,1778592410429,164,RMS Current,Success,16-Bit Unsigned Integer,0
6,1778592410429,164,RMS Voltage,Success,16-Bit Unsigned Integer,220
7,1778592416429,98,Active Power,Success,16-Bit Signed Integer,0
8,1778592416429,98,RMS Current,Success,16-Bit Unsigned Integer,0
9,1778592416429,98,RMS Voltage,Success,16-Bit Unsigned Integer,221
10,1778592482436,83,Active Power,Success,16-Bit Signed Integer,0
11,1778592482436,83,RMS Current,Success,16-Bit Unsigned Integer,0
12,1778592482436,83,RMS Voltage,Success,16-Bit Unsigned Integer,220
13,1778592782485,10,Active Power,Success,16-Bit Signed Integer,0
14,1778592782485,10,RMS Current,Success,16-Bit Unsigned Integer,0
15,1778592782485,10,RMS Voltage,Success,16-Bit Unsigned Integer,222
16,1778592896500,155,Active Power,Success,16-Bit Signed Integer,0
17,1778592896500,155,RMS Current,Success,16-Bit Unsigned Integer,0
18,1778592896500,155,RMS Voltage,Success,16-Bit Unsigned Integer,219
19,1778592902500,155,Active Power,Success,16-Bit Signed Integer,0
20,1778592902500,155,RMS Current,Success,16-Bit Unsigned Integer,0
21,1778592902500,155,RMS Voltage,Success,16-Bit Unsigned Integer,219
22,1778592914502,52,Active Power,Success,16-Bit Signed Integer,0
23,1778592914502,52,RMS Current,Success,16-Bit Unsigned Integer,0
24,1778592914502,52,RMS Voltage,Success,16-Bit Unsigned Integer,223
25,1778592956507,27,Active Power,Success,16-Bit Signed Integer,0
26,1778592956508,27,RMS Current,Success,16-Bit Unsigned Integer,0
27,1778592956508,27,RMS Voltage,Success,16-Bit Unsigned Integer,219
28,1778593022512,55,Active Power,Success,16-Bit Signed Integer,0
29,1778593022512,55,RMS Current,Success,16-Bit Unsigned Integer,0
30,1778593022512,55,RMS Voltage,Success,16-Bit Unsigned Integer,219
