No.,Source,Destination,Cost
1,0x1e15,0x0000,1
2,0x1e15,0x1cd8,1
3,0x1e15,0x3d95,1
4,0x1e15,0x4e11,3
5,0x1e15,0xa706,7
6,0x1e15,0xe1a6,1
7,0x1e15,0xec7f,1
8,0xec7f,0x0000,1
9,0xec7f,0x0112,7
10,0xec7f,0x1cd8,1
11,0xec7f,0x1e15,1
12,0xec7f,0x3d95,1
13,0xec7f,0x4e11,1
14,0xec7f,0xa706,5
15,0xec7f,0xe1a6,1
16,0xe1a6,0x0000,1
17,0xe1a6,0x0112,7
18,0xe1a6,0x1cd8,1
19,0xe1a6,0x1e15,1
20,0xe1a6,0x3d95,1
21,0xe1a6,0x4e11,1
22,0xe1a6,0xa706,5
23,0xe1a6,0xec7f,1
24,0x0,0x0112,7
25,0x0,0x1cd8,1
26,0x0,0x1e15,3
27,0x0,0x3d95,3
28,0x0,0x4e11,3
29,0x0,0xa706,5
30,0x0,0xe1a6,1
31,0x0,0xec7f,1
32,0x4e11,0x0000,1
33,0x4e11,0x0112,7
34,0x4e11,0x1cd8,1
35,0x4e11,0x1e15,3
36,0x4e11,0x3d95,2
37,0x4e11,0xa706,0
38,0x4e11,0xe1a6,1
39,0x4e11,0xec7f,1
40,0x1cd8,0x0000,1
41,0x1cd8,0x0112,3
42,0x1cd8,0x1e15,1
43,0x1cd8,0x3d95,1
44,0x1cd8,0x4e11,3
45,0x1cd8,0xa706,3
46,0x1cd8,0xe1a6,1
47,0x1cd8,0xec7f,1
48,0x112,0x0000,1
49,0x112,0x1cd8,1
50,0x112,0x1e15,0
51,0x112,0x3d95,7
52,0x112,0x4e11,3
53,0x112,0xa706,3
54,0x112,0xe1a6,7
55,0x112,0xec7f,1
56,0x3d95,0x0000,1
57,0x3d95,0x0112,7
58,0x3d95,0x1cd8,1
59,0x3d95,0x1e15,1
60,0x3d95,0x4e11,3
61,0x3d95,0xa706,7
62,0x3d95,0xe1a6,1
63,0x3d95,0xec7f,1
64,0xa706,0x0000,1
65,0xa706,0x0112,3
66,0xa706,0x1cd8,1
67,0xa706,0x1e15,7
68,0xa706,0x3d95,7
69,0xa706,0xe1a6,7
70,0xa706,0xec7f,1
